day,date,pccpue
-10,2016-05-21,0.07375931490214839
-9,2016-05-22,0.09535773898800681
-8,2016-05-23,0.12327287630700104
-7,2016-05-24,0.1593468898342264
-6,2016-05-25,0.20595566989547032
-5,2016-05-26,0.2661611202540625
-4,2016-05-27,0.34390532060195017
-3,2016-05-28,0.44425702055207045
-2,2016-05-29,0.573722802647152
-1,2016-05-30,0.7406369377480541
0,2016-05-31,0.9556449366858439
1,2016-06-01,1.2322951732379865
2,2016-06-02,1.5877491956840621
3,2016-06-03,2.043612028670824
4,2016-06-04,2.6268652190222634
5,2016-06-05,3.3708524122474817
6,2016-06-06,4.3162132633100585
7,2016-06-07,5.511579555210256
8,2016-06-08,7.013733396546669
9,2016-06-09,8.886786705013586
10,2016-06-10,11.199800480482438
11,2016-06-11,14.022185186346647
12,2016-06-12,17.4163227223644
13,2016-06-13,21.427277681064155
14,2016-06-14,26.07034719199725
15,2016-06-15,31.318495911998856
16,2016-06-16,37.09305722658637
17,2016-06-17,43.261685253944194
18,2016-06-18,49.646556321077526
19,2016-06-19,56.042975765777506
20,2016-06-20,62.24477583568076
21,2016-06-21,68.07009874043352
22,2016-06-22,73.38099399339433
23,2016-06-23,78.09282306326499
24,2016-06-24,82.17322868539263
25,2016-06-25,85.63344026585253
26,2016-06-26,88.51588211664257
27,2016-06-27,90.8815844708842
28,2016-06-28,92.79959970474185
29,2016-06-29,94.33929880177172
30,2016-06-30,95.56548913565692
31,2016-07-01,96.53582211617142
32,2016-07-02,97.29983176640089
33,2016-07-03,97.89900953563587
34,2016-07-04,98.36745830384142
35,2016-07-05,98.73281103177601
36,2016-07-06,99.01721697606064
37,2016-07-07,99.23828374363536
38,2016-07-08,99.40992019213986
39,2016-07-09,99.54306011815295
40,2016-07-10,99.64626652700164
41,2016-07-11,99.72622640338047
42,2016-07-12,99.7881501326589
43,2016-07-13,99.83609060768684
44,2016-07-14,99.87319619917373
45,2016-07-15,99.90191012891923
46,2016-07-16,99.92412690798045
47,2016-07-17,99.94131467313962
48,2016-07-18,99.95461060955573
49,2016-07-19,99.96489523395718
50,2016-07-20,99.97285013399706
